	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93
10	2680653	Способ изготовления влагочувствительных элементов	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2680653&TypeFile=html	Рыжак Александр Владимирович (RU)	G01W1/11	PC4A Государственная регистрация договора об отчуждении исключительного права	25.10.2021 РД0378575	Рыжак Александр Владимирович (RU)	"Общество с ограниченной ответственностью ""Квант"" (RU)"	Договор отчуждения	нет данных об условиях	"Генеральному директору ООО ""Квант"", А.В. Рыжаку, 199034, Санкт-Петербург, В.О., 17-я линия, д. 4-6"																																																																																		
11	2678339	ПАКЕР НАБУХАЮЩИЙ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2678339&TypeFile=html	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (ООО НПО ""Инновация"") (RU)"	E21B33/12	QB4A Государственная регистрация предоставления права использования по договору	24.09.2020 РД0341782	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (RU)"	"Акционерное общество ""Иделойл"" (RU)"	лицензионный	неисключительная лицензия на срок до 05.06.2030 на территории: объекты нефтедобычи, расположенные в Черемшанском районе Республики Татарстан.	нет данных об адресе																																																																																		
12	2678339	ПАКЕР НАБУХАЮЩИЙ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2678339&TypeFile=html	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (ООО НПО ""Инновация"") (RU)"	E21B33/12	QB4A Государственная регистрация предоставления права использования по договору	24.09.2020 РД0341783	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (RU)"	"Акционерное общество ""Геология"" (RU)"	лицензионный	неисключительная лицензия на срок до 05.06.2030 на территории: объекты нефтедобычи, расположенные в Азнакаевском и Нижнекамском районах Республики Татарстан.	нет данных об адресе																																																																																		
13	2678339	ПАКЕР НАБУХАЮЩИЙ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2678339&TypeFile=html	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (ООО НПО ""Инновация"") (RU)"	E21B33/12	QB4A Государственная регистрация предоставления права использования по договору	24.09.2020 РД0341784	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (RU)"	"Акционерное общество ""Шешмаойл"" (RU)"	лицензионный	неисключительная лицензия на срок до 05.06.2030 на территории: объекты нефтедобычи, расположенные в Черемшанском и Новошешминском районах Республики Татарстан.	нет данных об адресе																																																																																		
14	2678339	ПАКЕР НАБУХАЮЩИЙ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2678339&TypeFile=html	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (ООО НПО ""Инновация"") (RU)"	E21B33/12	QB4A Государственная регистрация предоставления права использования по договору	24.09.2020 РД0341785	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (RU)"	"Акционерное общество ""Кондурчанефть"" (RU)"	лицензионный	неисключительная лицензия на срок до 05.06.2030 на территории: объекты нефтедобычи, расположенные в Нурлатском районе Республики Татарстан.	нет данных об адресе																																																																																		
15	2685606	СПОСОБ БУРЕНИЯ СКВАЖИНЫ ПРИ КАТАСТРОФИЧЕСКОМ ПОГЛОЩЕНИИ И УСТРОЙСТВО ДЛЯ ЕГО ОСУЩЕСТВЛЕНИЯ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2685606&TypeFile=html	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (ООО НПО ""Инновация"") (RU)"	E21B21/00	QB4A Государственная регистрация предоставления права использования по договору	24.09.2020 РД0341782	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (RU)"	"Акционерное общество ""Иделойл"" (RU)"	лицензионный	неисключительная лицензия на срок до 05.06.2030 на территории: объекты нефтедобычи, расположенные в Черемшанском районе Республики Татарстан.	нет данных об адресе																																																																																		
16	2685606	СПОСОБ БУРЕНИЯ СКВАЖИНЫ ПРИ КАТАСТРОФИЧЕСКОМ ПОГЛОЩЕНИИ И УСТРОЙСТВО ДЛЯ ЕГО ОСУЩЕСТВЛЕНИЯ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2685606&TypeFile=html	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (ООО НПО ""Инновация"") (RU)"	E21B21/00	QB4A Государственная регистрация предоставления права использования по договору	24.09.2020 РД0341783	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (RU)"	"Акционерное общество ""Геология"" (RU)"	лицензионный	неисключительная лицензия на срок до 05.06.2030 на территории: объекты нефтедобычи, расположенные в Азнакаевском и Нижнекамском районах Республики Татарстан.	нет данных об адресе																																																																																		
17	2685606	СПОСОБ БУРЕНИЯ СКВАЖИНЫ ПРИ КАТАСТРОФИЧЕСКОМ ПОГЛОЩЕНИИ И УСТРОЙСТВО ДЛЯ ЕГО ОСУЩЕСТВЛЕНИЯ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2685606&TypeFile=html	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (ООО НПО ""Инновация"") (RU)"	E21B21/00	QB4A Государственная регистрация предоставления права использования по договору	24.09.2020 РД0341784	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (RU)"	"Акционерное общество ""Шешмаойл"" (RU)"	лицензионный	неисключительная лицензия на срок до 05.06.2030 на территории: объекты нефтедобычи, расположенные в Черемшанском и Новошешминском районах Республики Татарстан.	нет данных об адресе																																																																																		
18	2700748	СИСТЕМА ДОБЫЧИ НЕФТИ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2700748&TypeFile=html	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (ООО НПО ""Инновация"") (RU)"	E21B43/12	QB4A Государственная регистрация предоставления права использования по договору	24.09.2020 РД0341782	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (RU)"	"Акционерное общество ""Иделойл"" (RU)"	лицензионный	неисключительная лицензия на срок до 05.06.2030 на территории: объекты нефтедобычи, расположенные в Черемшанском районе Республики Татарстан.	нет данных об адресе																																																																																		
19	2700748	СИСТЕМА ДОБЫЧИ НЕФТИ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2700748&TypeFile=html	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (ООО НПО ""Инновация"") (RU)"	E21B43/12	QB4A Государственная регистрация предоставления права использования по договору	24.09.2020 РД0341783	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (RU)"	"Акционерное общество ""Геология"" (RU)"	лицензионный	неисключительная лицензия на срок до 05.06.2030 на территории: объекты нефтедобычи, расположенные в Азнакаевском и Нижнекамском районах Республики Татарстан.	нет данных об адресе																																																																																		
20	2700748	СИСТЕМА ДОБЫЧИ НЕФТИ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2700748&TypeFile=html	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (ООО НПО ""Инновация"") (RU)"	E21B43/12	QB4A Государственная регистрация предоставления права использования по договору	24.09.2020 РД0341784	"Общество с ограниченной ответственностью ""Научно-производственная организация ""Инновация"" (RU)"	"Акционерное общество ""Шешмаойл"" (RU)"	лицензионный	неисключительная лицензия на срок до 05.06.2030 на территории: объекты нефтедобычи, расположенные в Черемшанском и Новошешминском районах Республики Татарстан.	нет данных об адресе																																																																																		
21	2681924	Устройство для разрушения прессованного тюка хмеля	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2681924&TypeFile=html	"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Чувашская государственная сельскохозяйственная академия"" (RU)"	C12C3/00	QB4A Государственная регистрация предоставления права использования по договору	23.09.2022 РД0409186	"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Чувашский государственный аграрный университет"" (RU)"	"Общество с ограниченной ответственностью ""АгроРесурсы"" (RU)"	лицензионный	неисключительная лицензия сроком на 10 лет. Территория действия: Чувашская Республика - Чувашия.	нет данных об адресе																																																																																		
22	2671282	Насос-дозатор	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2671282&TypeFile=html	"Общество с ограниченной ответственностью ""НЕЙТ"" (RU)"	G01F11/00	QZ4A Внесение изменений в зарегистрированный договор	01.12.2017 РД0238503	"Общество с ограниченной ответственностью ""Нейт"" (RU)"	"Общество с ограниченной ответственностью ""Научно-производственное предприятие ""Авиагаз-Союз+"" (RU)"	лицензионный   Дата внесения записи в Государственный реестр: 21.01.2019         Дата публикации и номер бюллетеня: 21.01.2019 Бюл. №3	no_data	no_data																																																																																		
23	2671282	Насос-дозатор	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2671282&TypeFile=html	"Общество с ограниченной ответственностью ""НЕЙТ"" (RU)"	G01F11/00	QZ4A Внесение изменений в зарегистрированный договор	01.12.2017 РД0238503	"Общество с ограниченной ответственностью ""Нейт"" (RU)"	"Общество с ограниченной ответственностью ""Научно-производственное предприятие ""Авиагаз-Союз+"" (RU)"	лицензионный   Дата внесения записи в Государственный реестр: 18.07.2019         Дата публикации и номер бюллетеня: 18.07.2019 Бюл. №20	no_data	no_data																																																																																		
24	2671282	Насос-дозатор	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2671282&TypeFile=html	"Общество с ограниченной ответственностью ""НЕЙТ"" (RU)"	G01F11/00	PC4A Государственная регистрация договора об отчуждении исключительного права	09.06.2021 РД0366141	"Общество с ограниченной ответственностью ""Нейт"" (RU)"	"Общество с ограниченной ответственностью ""Научно-производственное предприятие ""Авиагаз-Союз+"" (RU)"	Договор отчуждения	нет данных об условиях	"420033, г. Казань, а/я 83, ООО ""НПП ""Авиагаз-Союз+"""																																																																																		
25	2731159	СУШЕНЫЕ ПРОДУКТЫ ИЗ ПЛОДОВ И/ИЛИ ОВОЩЕЙ И СПОСОБЫ ИХ ПОЛУЧЕНИЯ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2731159&TypeFile=html	ФРАУНХОФЕР-ГЕЗЕЛЛЬШАФТ ЦУР ФЕРДЕРУНГ ДЕР АНГЕВАНДТЕН ФОРШУНГ Е.Ф. (DE)	A23L19/00	PC4A Государственная регистрация договора об отчуждении исключительного права	10.06.2022 РД0399984	ФРАУНХОФЕР-ГЕЗЕЛЛЬШАФТ ЦУР ФЕРДЕРУНГ ДЕР АНГЕВАНДТЕН ФОРШУНГ Е.Ф. (DE)	Пасона Ноледж Партнер Инк. (JP)	Договор отчуждения	нет данных об условиях	"129090, Москва, ул. Большая Спасская, 25, стр. 3,ООО ""Юридическая фирма Городисский и Партнеры"""																																																																																		
26	2709343	СМЕСИ НА ОСНОВЕ СЛОЖНОГО ПОЛИЭФИРА С УЛУЧШЕННОЙ СПОСОБНОСТЬЮ ПОГЛОЩЕНИЯ КИСЛОРОДА	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2709343&TypeFile=html	Эм энд Джи ЮЭсЭй КОРПОРЕЙШН (US)	C08L67/02	PC4A Государственная регистрация договора об отчуждении исключительного права	09.12.2020 РД0348665	Эм энд Джи ЮЭсЭй КОРПОРЕЙШН (US)	АПГ Политек ЛЛС (US)	Договор отчуждения	нет данных об условиях	190900, Санкт-Петербург, ВОХ-1125, ПАТЕНТИКА																																																																																		
27	2669119	Центробежный насос	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2669119&TypeFile=html	Яблочко Сергей Викторович (RU)	F04D1/04	QB4A Государственная регистрация предоставления права использования по договору	06.05.2019 РД0293822	Яблочко Сергей Викторович (RU)	"Общество с ограниченной ответственностью ""НТЭ"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе																																																																																		
28	2669127	Центробежный насос	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2669127&TypeFile=html	Яблочко Сергей Викторович (RU)	F04D1/04	QB4A Государственная регистрация предоставления права использования по договору	06.05.2019 РД0293822	Яблочко Сергей Викторович (RU)	"Общество с ограниченной ответственностью ""НТЭ"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе																																																																																		
29	2669124	Центробежный насос	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2669124&TypeFile=html	Яблочко Сергей Викторович (RU)	F04D1/04	QB4A Государственная регистрация предоставления права использования по договору	06.05.2019 РД0293822	Яблочко Сергей Викторович (RU)	"Общество с ограниченной ответственностью ""НТЭ"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе																																																																																		
30	2669892	Центробежный насос	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2669892&TypeFile=html	Яблочко Сергей Викторович (RU)	F04D1/04	QB4A Государственная регистрация предоставления права использования по договору	06.05.2019 РД0293822	Яблочко Сергей Викторович (RU)	"Общество с ограниченной ответственностью ""НТЭ"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе																																																																																		
31	2669059	Центробежный насос	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2669059&TypeFile=html	Яблочко Сергей Викторович (RU)	F04D1/04	QB4A Государственная регистрация предоставления права использования по договору	06.05.2019 РД0293822	Яблочко Сергей Викторович (RU)	"Общество с ограниченной ответственностью ""НТЭ"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе																																																																																		
32	2670637	Центробежный насос	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2670637&TypeFile=html	Яблочко Сергей Викторович (RU)	F04D1/04	QB4A Государственная регистрация предоставления права использования по договору	06.05.2019 РД0293822	Яблочко Сергей Викторович (RU)	"Общество с ограниченной ответственностью ""НТЭ"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе																																																																																		
33	2715521	СИСТЕМЫ И СПОСОБЫ ДЛЯ ОБНАРУЖЕНИЯ ОБМАННЫХ ОБЪЕКТОВ И АНАЛИЗА ЖИЗНЕННОСТИ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2715521&TypeFile=html	АЙВЕРИФАЙ ИНК. (US)	G06K9/00	PC4A Государственная регистрация договора об отчуждении исключительного права	21.02.2023 РД0423846	АЙВЕРИФАЙ ИНК. (US)	ДЖУМИО КОРПОРЕЙШН (US)	Договор отчуждения	нет данных об условиях	"129090, Москва, ул. Большая Спасская, 25, стр. 3, ООО ""Юридическая фирма Городисский и Партнеры"""																																																																																		
34	2722869	ОПТИЧЕСКИЕ ЭЛЕМЕНТЫ В ГАЗОВЫХ ДАТЧИКАХ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2722869&TypeFile=html	ГАССЕКЬЮЭ АС (NO)	G01N21/15	PC4A Государственная регистрация договора об отчуждении исключительного права	25.11.2020 РД0347472	ГАССЕКЬЮЭ АС (NO)	Дрегер Сэйфти АГ унд Ко. КГаА (DE)	Договор отчуждения	нет данных об условиях	"129090, Москва, ул. Б. Спасская, 25, стр. 3, ООО ""Юридическая фирма Городисский и Партнеры"""																																																																																		
35	2677869	СИСТЕМЫ И СПОСОБЫ ВЫБОРА И КОНФИГУРИРОВАНИЯ СХЕМЫ МОДУЛЯЦИИ И КОДИРОВАНИЯ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2677869&TypeFile=html	ИНТЕЛ АйПи КОРПОРЕЙШН (US),ИНТЕЛ КОРПОРЕЙШН (US)	H04L27/34	PC4A Государственная регистрация договора об отчуждении исключительного права	23.06.2021 РД0367258	ИНТЕЛ АйПи КОРПОРЕЙШН (INTEL IP CORPORATION ) (US),ИНТЕЛ КОРПОРЕЙШН (US)	ИНТЕЛ КОРПОРЕЙШН (INTEL CORPORATION) (US)	Договор отчуждения	нет данных об условиях	123242, Москва, Кудринская пл., 1, а/я 35, Носыревой Е.Л.																																																																																		
36	2677869	СИСТЕМЫ И СПОСОБЫ ВЫБОРА И КОНФИГУРИРОВАНИЯ СХЕМЫ МОДУЛЯЦИИ И КОДИРОВАНИЯ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2677869&TypeFile=html	ИНТЕЛ АйПи КОРПОРЕЙШН (US),ИНТЕЛ КОРПОРЕЙШН (US)	H04L27/34	PC4A Государственная регистрация договора об отчуждении исключительного права	23.05.2022 РД0398155	ИНТЕЛ КОРПОРЕЙШН (US)	Эппл Инк. (US)	Договор отчуждения	нет данных об условиях	"109012, Москва, ул. Ильинка, 5/2, ООО ""Союзпатент"""																																																																																		
37	2678869	Съедобный контейнер для пищевых продуктов, термическая пресс-форма для выпечки половинок съедобного контейнера и приспособление для извлечения половинок съедобного контейнера из термической пресс-формы и чистки газоотводных отверстий термической пресс-формы	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2678869&TypeFile=html	Петров Максим Сергеевич (RU)	A45C11/20	PC4A Государственная регистрация договора об отчуждении исключительного права	13.08.2020 РД0338429	Петров Максим Сергеевич (RU)	Нефедов Евгений Николаевич (RU), Петров Максим Сергеевич (RU)	Договор отчуждения	нет данных об условиях	352430, Краснодарский край, г. Курганинск, ул. Лермонтова, 122, Нефедову Евгению Николаевичу																																																																																		
38	2685060	НАГРЕВАНИЕ КУРИТЕЛЬНОГО МАТЕРИАЛА	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2685060&TypeFile=html	БРИТИШ АМЕРИКЭН ТОБЭККО (ИНВЕСТМЕНТС) ЛИМИТЕД (GB)	A24F47/00	PC4A Государственная регистрация договора об отчуждении исключительного права	08.04.2021 РД0359961	БРИТИШ АМЕРИКЭН ТОБЭККО (ИНВЕСТМЕНТС) ЛИМИТЕД (GB)	НИКОВЕНЧЕРС ТРЕЙДИНГ ЛИМИТЕД (GB)	Договор отчуждения	нет данных об условиях	"101000, Москва, ул. Мясницкая, 13, стр. 5, ООО ""Союзпатент"""																																																																																		
39	2748677	КОНСТРУКЦИЯ ПРОТЕКТОРНЫХ БЛОКОВ ДЛЯ ПНЕВМАТИЧЕСКОЙ ШИНЫ ИЛИ ПРОТЕКТОРНОГО СЛОЯ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2748677&TypeFile=html	Нокиан Ренкаат Ойй (FI)	B60C1/00	QB4A Государственная регистрация предоставления права использования по договору	17.08.2023 РД0440662	Нокиан Тайрс плк (FI)	"Общество с ограниченной ответственностью ""Нокиан Тайерс"" (RU)"	лицензионный	исключительная лицензия Сроком на 15 лет с даты подписания договора, а именно с 29 марта 2023 на территории РФ.	нет данных об адресе																																																																																		
40	2675184	СИСТЕМА ПОДАЧИ СЖИЖЕННОГО ПРИРОДНОГО ГАЗА В ЭНЕРГОУСТАНОВКУ И СПОСОБ ЕЕ РАБОТЫ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2675184&TypeFile=html	Курочкин Андрей Владиславович (RU)	F02M21/02	PC4A Государственная регистрация договора об отчуждении исключительного права	08.07.2021 РД0368674	Курочкин Андрей Владиславович (RU)	"Общество с ограниченной ответственностью Научно-исследовательский и проектный институт ""ПЕГАЗ"" (RU)"	Договор отчуждения	нет данных об условиях	"450077, Республика Башкортостан, г. Уфа, Верхнеторговая площадь, 6, БЦ ""Нестеров"", 4 эт., пом. 1-16, ООО НИПИ ""ПЕГАЗ"", специалисту по интеллектуальной собственности Шангараевой Г.С."																																																																																		
